0.0000000000	 -0.7049922113	 -2.0000000000 0.2950077887 
0.2000000000	 -0.1054631360	 -1.4062110794 0.5976424037 
0.4000000000	 0.3660973094	 -0.2039515720 0.4680730954 
0.6000000000	 0.4742456461	 0.7355417359 0.1064747781 
0.8000000000	 0.2601906522	 0.9431832019 -0.2114009487 
1.0000000000	 -0.0608125529	 0.5085405331 -0.3150828195 
1.2000000000	 -0.2731859775	 -0.1322952430 -0.2070383559 
1.4000000000	 -0.2854284663	 -0.5488145533 -0.0110211896 
1.6000000000	 -0.1475165655	 -0.5639742211 0.1344705451 
1.8000000000	 0.0182333358	 -0.2841008644 0.1602837679 
2.0000000000	 0.1083120455	 0.0439985135 0.0863127887 
2.2000000000	 0.0923436574	 0.2163547330 -0.0158337091 
2.4000000000	 0.0097586038	 0.1777530617 -0.0791179271 
2.6000000000	 -0.0728372269	 0.0110673724 -0.0783709131 
2.8000000000	 -0.1078139295	 -0.1503707748 -0.0326285420 
3.0000000000	 -0.0885741654	 -0.2145109564 0.0186813128 
3.2000000000	 -0.0416633686	 -0.1720886427 0.0443809528 
3.4000000000	 -0.0020175293	 -0.0782507257 0.0371078336 
3.6000000000	 0.0095730248	 -0.0021236996 0.0106348746 
3.8000000000	 -0.0055795576	 0.0172554303 -0.0142072727 
4.0000000000	 -0.0311163152	 -0.0150682222 -0.0235822040 
4.2000000000	 -0.0493526961	 -0.0655340911 -0.0165856506 
4.4000000000	 -0.0518536992	 -0.0996932953 -0.0020070515 
4.6000000000	 -0.0416616522	 -0.1024269733 0.0095518345 
4.8000000000	 -0.0282709736	 -0.0811639132 0.0123109830 
5.0000000000	 -0.0203146524	 -0.0551087042 0.0072396997 
5.2000000000	 -0.0208317510	 -0.0407350795 -0.0004642112 
5.4000000000	 -0.0271092337	 -0.0430224026 -0.0055980324 
5.6000000000	 -0.0338856782	 -0.0558667026 -0.0059523269 
5.8000000000	 -0.0371114156	 -0.0687967548 -0.0027130382 
6.0000000000	 -0.0359383305	 -0.0742948367 0.0012090878 
6.2000000000	 -0.0322964859	 -0.0713062645 0.0033566463 
6.4000000000	 -0.0289894398	 -0.0639969660 0.0030090432 
6.6000000000	 -0.0278287028	 -0.0578419765 0.0010922854 
6.8000000000	 -0.0288719026	 -0.0560771288 -0.0008333382 
7.0000000000	 -0.0308893978	 -0.0584660611 -0.0016563673 
7.2000000000	 -0.0324401828	 -0.0624330333 -0.0012236661 
7.4000000000	 -0.0327630449	 -0.0652265457 -0.0001497721 
7.6000000000	 -0.0320217630	 -0.0655642764 0.0007603752 
7.8000000000	 -0.0309470522	 -0.0639548359 0.0010303658 
8.0000000000	 -0.0302536426	 -0.0618893733 0.0006910441 
8.2000000000	 -0.0302327035	 -0.0606956394 0.0001151162 
8.4000000000	 -0.0307046598	 -0.0608154022 -0.0002969587 
8.6000000000	 -0.0312568978	 -0.0618025406 -0.0003556275 
8.8000000000	 -0.0315481036	 -0.0628362280 -0.0001299896 
9.0000000000	 -0.0314847529	 -0.0633040791 0.0001672867 
9.2000000000	 -0.0312044213	 -0.0630972527 0.0003442051 
9.4000000000	 -0.0309305931	 -0.0625291081 0.0003339610 
9.6000000000	 -0.0308193110	 -0.0620325200 0.0001969489 
9.8000000000	 -0.0308884187	 -0.0618747447 0.0000489536 
10.0000000000	 -0.0310466572	 -0.0620500419 -0.0000216362 
10.2000000000	 -0.0311773804	 -0.0623612979 0.0000032685 
10.4000000000	 -0.0312130518	 -0.0625891423 0.0000815193 
10.6000000000	 -0.0311601915	 -0.0626254592 0.0001525381 
10.8000000000	 -0.0310745108	 -0.0625041335 0.0001775559 
11.0000000000	 -0.0310147691	 -0.0623406876 0.0001555747 
11.2000000000	 -0.0310080224	 -0.0622419208 0.0001129379 
11.4000000000	 -0.0310430579	 -0.0622465193 0.0000802017 
11.6000000000	 -0.0310877656	 -0.0623221727 0.0000733207 
11.8000000000	 -0.0311136094	 -0.0624046599 0.0000887205 
12.0000000000	 -0.0311110632	 -0.0624442187 0.0001110461 
12.2000000000	 -0.0310896862	 -0.0624302362 0.0001254319 
12.4000000000	 -0.0310671715	 -0.0623861714 0.0001259142 
12.6000000000	 -0.0310568259	 -0.0623461882 0.0001162682 
12.8000000000	 -0.0310611468	 -0.0623322867 0.0001049965 
13.0000000000	 -0.0310734629	 -0.0623450426 0.0000990584 
13.2000000000	 -0.0310843938	 -0.0623694183 0.0001003154 
13.4000000000	 -0.0310880312	 -0.0623879551 0.0001059464 
13.6000000000	 -0.0310843563	 -0.0623915854 0.0001114363 
13.8000000000	 -0.0310775721	 -0.0623824805 0.0001136681 
14.0000000000	 -0.0310724767	 -0.0623695695 0.0001123080 
14.2000000000	 -0.0310715269	 -0.0623614259 0.0001091861 
14.4000000000	 -0.0310740889	 -0.0623614019 0.0001066120 
14.6000000000	 -0.0310776846	 -0.0623671825 0.0001059067 
14.8000000000	 -0.0310799460	 -0.0623737531 0.0001069306 
15.0000000000	 -0.0310799494	 -0.0623770793 0.0001085903 
15.2000000000	 -0.0310783363	 -0.0623761641 0.0001097457 
15.4000000000	 -0.0310764976	 -0.0623727543 0.0001098795 
15.6000000000	 -0.0310755578	 -0.0623695414 0.0001092128 
15.8000000000	 -0.0310758027	 -0.0623683308 0.0001083627 
16.0000000000	 -0.0310767534	 -0.0623692498 0.0001078716 
16.2000000000	 -0.0310776605	 -0.0623711551 0.0001079170 
16.4000000000	 -0.0310780135	 -0.0623726596 0.0001083163 
16.6000000000	 -0.0310777667	 -0.0623730064 0.0001087365 
16.8000000000	 -0.0310772333	 -0.0623723266 0.0001089300 
17.0000000000	 -0.0310768026	 -0.0623713085 0.0001088516 
17.2000000000	 -0.0310766937	 -0.0623706392 0.0001086259 
17.4000000000	 -0.0310768777	 -0.0623706065 0.0001084256 
17.6000000000	 -0.0310771649	 -0.0623710468 0.0001083585 
17.8000000000	 -0.0310773604	 -0.0623715693 0.0001084242 
18.0000000000	 -0.0310773776	 -0.0623718475 0.0001085462 
18.2000000000	 -0.0310772574	 -0.0623717904 0.0001086379 
18.4000000000	 -0.0310771082	 -0.0623715272 0.0001086554 
