##input
##{
##time_step=0.0025;
##time_end = 1000;
##Gamma_l =0.5;  //also Gamma_l is square root of the decay
##Gamma_m =0.50;
##Gamma_r =0.5;
##Nbin =2;
##svdcutoff = 1E-8;
##maxnumberofSV = 5000;
##left_fb = 0; //ATTENTION left-middle  .... avoid feedback 2, avoid feedback times uneven
##right_fb = 0; //ATTENTION middle-right ... left_fb >= right_fb, works for right_fb=1
##init_000 = 0.; 
##init_001 = 0.0*57735027; 
##init_010 = 0.0*57735027; 
##init_011 = 0.0*0.57735027; 
##init_100 = 0.0*57735027; 
##init_101 = 0.*0.57735027; 
##init_110 = 0.*0.57735027;//70710678118; 
##init_111 = 1.0;//70710678118; 
##phi = 1.5 ; // 4 --> 4pi --> all phases zero!!!
##INDIVIDUAL_PHASE_CHOICE = 0; // if this is zero, the phase is set with phi=phi_l=phi_r, and phi_l=phi*l_fb/(l_fb+r_fb)
##phi_l  = 0.640;  // as multiple of pi phi_l=phi_r, and 
##phi_ml = 0.0; // phi_m chooses phi_ml, and fixes phi_mr/0.5=1.-phi_ml/0.5
##phi_mr = 0.0; // phi_m chooses phi_ml, and fixes phi_mr/0.5=1.-phi_ml/0.5
##phi_r  = -1.11;  // ATTENTION !! has no influence is equal to phi_r
##}
##// =ATTENTION feedback counts between left and right, middle is half the feedback, effective first feedback effect after fb/2
##// =ATTENTION exclude feedback time of 2, i.e. no distance between left - middle - right bin
##// =ATTENTION exclude uneven feedback times of 2n+1, i.e. asymmetric swap necessary between left - middle - right bin
##// =ATTENTION exclude complex valued initial states, not yet implemented
##
##// 1./sqrt(2.) = 0.70710678118
##// 1./sqrt(3.) = 0.57735027
##// 2pi=6.283185307179586476925286766559  
##// 4pi=12,566370614359172953850573533118‬
0.0400000000 	0.0000415818 	0.0007269713 	0.0007269713 	0.0007269713 	0.0186749116 	0.0186749116 	0.0186749116 	0.9417527606 	0.0605113258 	0.0302556585 	 0.0302556673 	0.0019070262 	 0.0019070262 	
0.0425000000 	0.0000500123 	0.0008188205 	0.0008188205 	0.0008188205 	0.0197554831 	0.0197554831 	0.0197554831 	0.9382270681 	0.0643294266 	0.0321647089 	 0.0321647177 	0.0019090504 	 0.0019090504 	
0.0450000000 	0.0000594899 	0.0009157072 	0.0009157072 	0.0009157072 	0.0208262682 	0.0208262682 	0.0208262682 	0.9347145750 	0.0681515352 	0.0340757632 	 0.0340757720 	0.0019110543 	 0.0019110543 	
0.0475000000 	0.0000700712 	0.0010175640 	0.0010175640 	0.0010175640 	0.0218873321 	0.0218873321 	0.0218873321 	0.9312152318 	0.0719776112 	0.0359888012 	 0.0359888100 	0.0019130380 	 0.0019130380 	
0.0500000000 	0.0000818118 	0.0011243236 	0.0011243236 	0.0011243236 	0.0229387398 	0.0229387398 	0.0229387398 	0.9277289892 	0.0758076140 	0.0379038026 	 0.0379038114 	0.0019150014 	 0.0019150014 	
0.0525000000 	0.0000947668 	0.0012359197 	0.0012359197 	0.0012359197 	0.0239805557 	0.0239805557 	0.0239805557 	0.9242557983 	0.0796415030 	0.0398207471 	 0.0398207559 	0.0019169445 	 0.0019169445 	
0.0550000000 	0.0001089902 	0.0013522863 	0.0013522863 	0.0013522863 	0.0250128440 	0.0250128440 	0.0250128440 	0.9207956102 	0.0834792379 	0.0417396145 	 0.0417396233 	0.0019188674 	 0.0019188674 	
0.0575000000 	0.0001245357 	0.0014733581 	0.0014733581 	0.0014733581 	0.0260356684 	0.0260356684 	0.0260356684 	0.9173483762 	0.0873207781 	0.0436603847 	 0.0436603934 	0.0019207701 	 0.0019207701 	
0.0600000000 	0.0001414558 	0.0015990703 	0.0015990703 	0.0015990703 	0.0270490923 	0.0270490923 	0.0270490923 	0.9139140478 	0.0911660834 	0.0455830373 	 0.0455830461 	0.0019226526 	 0.0019226526 	
0.0625000000 	0.0001598027 	0.0017293586 	0.0017293586 	0.0017293586 	0.0280531787 	0.0280531787 	0.0280531787 	0.9104925767 	0.0950151133 	0.0475075523 	 0.0475075610 	0.0019245150 	 0.0019245150 	
0.0650000000 	0.0001796276 	0.0018641594 	0.0018641594 	0.0018641594 	0.0290479902 	0.0290479902 	0.0290479902 	0.9070839147 	0.0988678276 	0.0494339094 	 0.0494339182 	0.0019263571 	 0.0019263571 	
0.0675000000 	0.0002009811 	0.0020034097 	0.0020034097 	0.0020034097 	0.0300335891 	0.0300335891 	0.0300335891 	0.9036880139 	0.1027241860 	0.0513620886 	 0.0513620974 	0.0019281792 	 0.0019281792 	
0.0700000000 	0.0002239130 	0.0021470467 	0.0021470467 	0.0021470467 	0.0310100372 	0.0310100372 	0.0310100372 	0.9003048266 	0.1065841483 	0.0532920698 	 0.0532920785 	0.0019299811 	 0.0019299811 	
0.0725000000 	0.0002484726 	0.0022950085 	0.0022950085 	0.0022950085 	0.0319773961 	0.0319773961 	0.0319773961 	0.8969343050 	0.1104476743 	0.0552238327 	 0.0552238415 	0.0019317630 	 0.0019317630 	
