#time 	S+S- 	 norm 
# 2019_08_20_13_04_24 
91.0000000000 	 0.3660834531 	          1 
91.5000000000 	 0.3648617075 	          1 
92.0000000000 	 0.3636662673 	          1 
92.5000000000 	 0.3625024781 	          1 
93.0000000000 	 0.3613692307 	          1 
93.5000000000 	 0.3602705743 	          1 
94.0000000000 	 0.3592004431 	          1 
94.5000000000 	 0.3581619253 	          1 
95.0000000000 	 0.3571624092 	          1 
95.5000000000 	 0.3561993704 	          1 
96.0000000000 	 0.3552728535 	          1 
96.5000000000 	 0.3543762395 	          1 
97.0000000000 	 0.3535213754 	          1 
97.5000000000 	 0.3527028580 	          1 
98.0000000000 	 0.3519201906 	          1 
98.5000000000 	 0.3511726442 	          1 
99.0000000000 	 0.3504595217 	          1 
99.5000000000 	 0.3497807930 	          1 
100.0000000000 	 0.3491375813 	          1 
100.5000000000 	 0.3485308260 	          1 
101.0000000000 	 0.3479602252 	          1 
101.5000000000 	 0.3474280765 	          1 
102.0000000000 	 0.3469364201 	          1 
102.5000000000 	 0.3464809048 	          1 
103.0000000000 	 0.3460611190 	          1 
103.5000000000 	 0.3456769042 	          1 
104.0000000000 	 0.3453277886 	          1 
104.5000000000 	 0.3450130890 	          1 
105.0000000000 	 0.3447319779 	          1 
105.5000000000 	 0.3444897854 	          1 
106.0000000000 	 0.3442835950 	          1 
106.5000000000 	 0.3441107443 	          1 
107.0000000000 	 0.3439675943 	          1 
107.5000000000 	 0.3438545296 	          1 
108.0000000000 	 0.3437733664 	          1 
108.5000000000 	 0.3437236972 	          1 
109.0000000000 	 0.3437066544 	          1 
109.5000000000 	 0.3437115964 	          1 
110.0000000000 	 0.3437385362 	          1 
110.5000000000 	 0.3437883821 	          1 
111.0000000000 	 0.3438648632 	          1 
111.5000000000 	 0.3439665396 	          1 
112.0000000000 	 0.3440920775 	          1 
112.5000000000 	 0.3442352729 	          1 
113.0000000000 	 0.3443941959 	          1 
113.5000000000 	 0.3445704416 	          1 
114.0000000000 	 0.3447635747 	          1 
114.5000000000 	 0.3449790278 	          1 
115.0000000000 	 0.3452130540 	          1 
115.5000000000 	 0.3454679257 	          1 
116.0000000000 	 0.3457405207 	          1 
116.5000000000 	 0.3460323082 	          1 
117.0000000000 	 0.3463341214 	          1 
117.5000000000 	 0.3466471249 	          1 
118.0000000000 	 0.3469689617 	          1 
118.5000000000 	 0.3473081349 	          1 
119.0000000000 	 0.3476629075 	          1 
119.5000000000 	 0.3480288476 	          1 
120.0000000000 	 0.3484065271 	          1 
120.5000000000 	 0.3487867430 	          1 
121.0000000000 	 0.3491675493 	          1 
121.5000000000 	 0.3495555546 	          1 
122.0000000000 	 0.3499501041 	          1 
122.5000000000 	 0.3503487129 	          1 
123.0000000000 	 0.3507558065 	          1 
123.5000000000 	 0.3511718975 	          1 
124.0000000000 	 0.3515872651 	          1 
124.5000000000 	 0.3520029783 	          1 
125.0000000000 	 0.3524192283 	          1 
125.5000000000 	 0.3528327780 	          1 
126.0000000000 	 0.3532503903 	          1 
126.5000000000 	 0.3536738633 	          1 
127.0000000000 	 0.3541002190 	          1 
127.5000000000 	 0.3545265536 	          1 
128.0000000000 	 0.3549486256 	          1 
128.5000000000 	 0.3553648309 	          1 
129.0000000000 	 0.3557766904 	          1 
129.5000000000 	 0.3561864413 	          1 
130.0000000000 	 0.3565930223 	          1 
130.5000000000 	 0.3569914832 	          1 
131.0000000000 	 0.3573882528 	          1 
131.5000000000 	 0.3577825632 	          1 
132.0000000000 	 0.3581712944 	          1 
132.5000000000 	 0.3585544389 	          1 
133.0000000000 	 0.3589295654 	          1 
133.5000000000 	 0.3592960430 	          1 
134.0000000000 	 0.3596597308 	          1 
134.5000000000 	 0.3600179028 	          1 
135.0000000000 	 0.3603739471 	          1 
135.5000000000 	 0.3607251060 	          1 
136.0000000000 	 0.3610724341 	          1 
136.5000000000 	 0.3614067632 	          1 
137.0000000000 	 0.3617313824 	          1 
137.5000000000 	 0.3620463049 	          1 
138.0000000000 	 0.3623578032 	          1 
138.5000000000 	 0.3626654007 	          1 
139.0000000000 	 0.3629639422 	          1 
139.5000000000 	 0.3632540207 	          1 
140.0000000000 	 0.3635301551 	          1 
140.5000000000 	 0.3637950250 	          1 
141.0000000000 	 0.3640506149 	          1 
141.5000000000 	 0.3642914565 	          1 
142.0000000000 	 0.3645288771 	          1 
142.5000000000 	 0.3647608772 	          1 
143.0000000000 	 0.3649893527 	          1 
143.5000000000 	 0.3652009015 	          1 
144.0000000000 	 0.3653999905 	          1 
144.5000000000 	 0.3655885625 	          1 
145.0000000000 	 0.3657706517 	          1 
145.5000000000 	 0.3659477373 	          1 
146.0000000000 	 0.3661161466 	          1 
146.5000000000 	 0.3662767504 	          1 
147.0000000000 	 0.3664249588 	          1 
147.5000000000 	 0.3665612647 	          1 
148.0000000000 	 0.3666917082 	          1 
148.5000000000 	 0.3668156035 	          1 
149.0000000000 	 0.3669303128 	          1 
149.5000000000 	 0.3670369484 	          1 
150.0000000000 	 0.3671384099 	          1 
150.5000000000 	 0.3672269828 	          1 
151.0000000000 	 0.3673046506 	          1 
151.5000000000 	 0.3673738687 	          1 
152.0000000000 	 0.3674339662 	          1 
152.5000000000 	 0.3674888347 	          1 
153.0000000000 	 0.3675391013 	          1 
153.5000000000 	 0.3675824125 	          1 
154.0000000000 	 0.3676193836 	          1 
154.5000000000 	 0.3676453068 	          1 
155.0000000000 	 0.3676634890 	          1 
155.5000000000 	 0.3676748758 	          1 
156.0000000000 	 0.3676751403 	          1 
156.5000000000 	 0.3676756163 	          1 
157.0000000000 	 0.3676656419 	          1 
157.5000000000 	 0.3676467277 	          1 
158.0000000000 	 0.3676228409 	          1 
158.5000000000 	 0.3675939552 	          1 
159.0000000000 	 0.3675605598 	          1 
159.5000000000 	 0.3675211958 	          1 
160.0000000000 	 0.3674761909 	          1 
160.5000000000 	 0.3674269943 	          1 
161.0000000000 	 0.3673734656 	          1 
161.5000000000 	 0.3673188363 	          1 
162.0000000000 	 0.3672659617 	          1 
162.5000000000 	 0.3672004999 	          1 
163.0000000000 	 0.3671260005 	          1 
163.5000000000 	 0.3670470073 	          1 
164.0000000000 	 0.3669709005 	          1 
164.5000000000 	 0.3668981466 	          1 
165.0000000000 	 0.3668207935 	          1 
165.5000000000 	 0.3667373969 	          1 
166.0000000000 	 0.3666464087 	          1 
166.5000000000 	 0.3665509473 	          1 
167.0000000000 	 0.3664533036 	          1 
167.5000000000 	 0.3663571452 	          1 
168.0000000000 	 0.3662604350 	          1 
168.5000000000 	 0.3661640448 	          1 
169.0000000000 	 0.3660719622 	          1 
169.5000000000 	 0.3659746620 	          1 
170.0000000000 	 0.3658717166 	          1 
170.5000000000 	 0.3657682383 	          1 
171.0000000000 	 0.3656667682 	          1 
171.5000000000 	 0.3655671534 	          1 
172.0000000000 	 0.3654719038 	          1 
172.5000000000 	 0.3653702332 	          1 
173.0000000000 	 0.3652625927 	          1 
173.5000000000 	 0.3651590634 	          1 
174.0000000000 	 0.3650582526 	          1 
174.5000000000 	 0.3649568819 	          1 
175.0000000000 	 0.3648558939 	          1 
175.5000000000 	 0.3647549971 	          1 
176.0000000000 	 0.3646577510 	          1 
176.5000000000 	 0.3645560700 	          1 
177.0000000000 	 0.3644541180 	          1 
177.5000000000 	 0.3643538388 	          1 
178.0000000000 	 0.3642560786 	          1 
178.5000000000 	 0.3641638894 	          1 
179.0000000000 	 0.3640756241 	          1 
179.5000000000 	 0.3639938172 	          1 
180.0000000000 	 0.3639069995 	          1 
180.5000000000 	 0.3638131391 	          1 
181.0000000000 	 0.3637200630 	          1 
181.5000000000 	 0.3636303637 	          1 
182.0000000000 	 0.3635451592 	          1 
182.5000000000 	 0.3634641549 	          1 
183.0000000000 	 0.3633863466 	          1 
183.5000000000 	 0.3633172599 	          1 
184.0000000000 	 0.3632440999 	          1 
184.5000000000 	 0.3631646419 	          1 
185.0000000000 	 0.3630889663 	          1 
185.5000000000 	 0.3630174226 	          1 
186.0000000000 	 0.3629496909 	          1 
186.5000000000 	 0.3628864783 	          1 
187.0000000000 	 0.3628248665 	          1 
187.5000000000 	 0.3627652008 	          1 
188.0000000000 	 0.3627069092 	          1 
188.5000000000 	 0.3626512675 	          1 
189.0000000000 	 0.3625951696 	          1 
189.5000000000 	 0.3625402279 	          1 
190.0000000000 	 0.3624910460 	          1 
190.5000000000 	 0.3624495562 	          1 
191.0000000000 	 0.3624079347 	          1 
191.5000000000 	 0.3623648790 	          1 
192.0000000000 	 0.3623224076 	          1 
192.5000000000 	 0.3622797712 	          1 
193.0000000000 	 0.3622420705 	          1 
193.5000000000 	 0.3622113296 	          1 
194.0000000000 	 0.3621839530 	          1 
194.5000000000 	 0.3621596119 	          1 
195.0000000000 	 0.3621358304 	          1 
195.5000000000 	 0.3621116685 	          1 
196.0000000000 	 0.3620865200 	          1 
196.5000000000 	 0.3620590434 	          1 
197.0000000000 	 0.3620406630 	          1 
197.5000000000 	 0.3620279843 	          1 
198.0000000000 	 0.3620231953 	          1 
198.5000000000 	 0.3620063302 	          1 
199.0000000000 	 0.3619904056 	          1 
199.5000000000 	 0.3619772686 	          1 
200.0000000000 	 0.3619690140 	          1 
200.5000000000 	 0.3619649170 	          1 
201.0000000000 	 0.3619656633 	          1 
201.5000000000 	 0.3619655394 	          1 
202.0000000000 	 0.3619628596 	          1 
202.5000000000 	 0.3619613170 	          1 
203.0000000000 	 0.3619615303 	          1 
203.5000000000 	 0.3619653084 	          1 
204.0000000000 	 0.3619707063 	          1 
204.5000000000 	 0.3619776897 	          1 
205.0000000000 	 0.3619864809 	          1 
205.5000000000 	 0.3619937584 	          1 
206.0000000000 	 0.3620008605 	          1 
206.5000000000 	 0.3620088127 	          1 
207.0000000000 	 0.3620189686 	          1 
207.5000000000 	 0.3620287117 	          1 
208.0000000000 	 0.3620421307 	          1 
208.5000000000 	 0.3620618466 	          1 
209.0000000000 	 0.3620784218 	          1 
209.5000000000 	 0.3620916151 	          1 
210.0000000000 	 0.3621082961 	          1 
210.5000000000 	 0.3621286847 	          1 
211.0000000000 	 0.3621486690 	          1 
211.5000000000 	 0.3621697447 	          1 
212.0000000000 	 0.3621861184 	          1 
212.5000000000 	 0.3621987664 	          1 
213.0000000000 	 0.3622138026 	          1 
213.5000000000 	 0.3622271600 	          1 
214.0000000000 	 0.3622401470 	          1 
214.5000000000 	 0.3622551194 	          1 
215.0000000000 	 0.3622735774 	          1 
215.5000000000 	 0.3622917279 	          1 
216.0000000000 	 0.3623096720 	          1 
216.5000000000 	 0.3623245907 	          1 
217.0000000000 	 0.3623413112 	          1 
217.5000000000 	 0.3623583985 	          1 
218.0000000000 	 0.3623739181 	          1 
218.5000000000 	 0.3623908601 	          1 
219.0000000000 	 0.3624112253 	          1 
219.5000000000 	 0.3624359045 	          1 
220.0000000000 	 0.3624624355 	          1 
220.5000000000 	 0.3624873289 	          1 
221.0000000000 	 0.3625077271 	          1 
221.5000000000 	 0.3625286412 	          1 
222.0000000000 	 0.3625519273 	          1 
222.5000000000 	 0.3625777627 	          1 
223.0000000000 	 0.3626021372 	          1 
223.5000000000 	 0.3626246664 	          1 
224.0000000000 	 0.3626455575 	          1 
224.5000000000 	 0.3626677100 	          1 
225.0000000000 	 0.3626888372 	          1 
225.5000000000 	 0.3627092628 	          1 
226.0000000000 	 0.3627295431 	          1 
226.5000000000 	 0.3627484748 	          1 
227.0000000000 	 0.3627663001 	          1 
227.5000000000 	 0.3627836860 	          1 
228.0000000000 	 0.3627992237 	          1 
228.5000000000 	 0.3628151884 	          1 
229.0000000000 	 0.3628329971 	          1 
229.5000000000 	 0.3628515453 	          1 
230.0000000000 	 0.3628729220 	          1 
230.5000000000 	 0.3628946542 	          1 
231.0000000000 	 0.3629180723 	          1 
231.5000000000 	 0.3629362619 	          1 
232.0000000000 	 0.3629511512 	          1 
232.5000000000 	 0.3629649042 	          1 
233.0000000000 	 0.3629830459 	          1 
233.5000000000 	 0.3630038197 	          1 
234.0000000000 	 0.3630223714 	          1 
234.5000000000 	 0.3630392925 	          1 
235.0000000000 	 0.3630512011 	          1 
235.5000000000 	 0.3630580066 	          1 
236.0000000000 	 0.3630639117 	          1 
236.5000000000 	 0.3630656955 	          1 
237.0000000000 	 0.3630735902 	          1 
237.5000000000 	 0.3630856324 	          1 
238.0000000000 	 0.3631023652 	          1 
238.5000000000 	 0.3631136600 	          1 
239.0000000000 	 0.3631206456 	          1 
239.5000000000 	 0.3631274334 	          1 
240.0000000000 	 0.3631349371 	          1 
240.5000000000 	 0.3631419232 	          1 
241.0000000000 	 0.3631497646 	          1 
241.5000000000 	 0.3631578397 	          1 
242.0000000000 	 0.3631694053 	          1 
242.5000000000 	 0.3631763944 	          1 
243.0000000000 	 0.3631782008 	          1 
243.5000000000 	 0.3631788092 	          1 
244.0000000000 	 0.3631804252 	          1 
244.5000000000 	 0.3631839283 	          1 
245.0000000000 	 0.3631893290 	          1 
245.5000000000 	 0.3631958423 	          1 
246.0000000000 	 0.3632048274 	          1 
246.5000000000 	 0.3632098339 	          1 
247.0000000000 	 0.3632117526 	          1 
247.5000000000 	 0.3632099133 	          1 
248.0000000000 	 0.3632094372 	          1 
248.5000000000 	 0.3632110208 	          1 
249.0000000000 	 0.3632163648 	          1 
249.5000000000 	 0.3632185405 	          1 
250.0000000000 	 0.3632151146 	          1 
250.5000000000 	 0.3632114578 	          1 
251.0000000000 	 0.3632082191 	          1 
251.5000000000 	 0.3632063240 	          1 
252.0000000000 	 0.3632043559 	          1 
252.5000000000 	 0.3632039697 	          1 
253.0000000000 	 0.3632043318 	          1 
253.5000000000 	 0.3632037322 	          1 
254.0000000000 	 0.3632017632 	          1 
254.5000000000 	 0.3631983947 	          1 
255.0000000000 	 0.3631952876 	          1 
255.5000000000 	 0.3631886905 	          1 
256.0000000000 	 0.3631793005 	          1 
256.5000000000 	 0.3631729037 	          1 
257.0000000000 	 0.3631693347 	          1 
257.5000000000 	 0.3631652626 	          1 
258.0000000000 	 0.3631598942 	          1 
258.5000000000 	 0.3631527899 	          1 
259.0000000000 	 0.3631444678 	          1 
259.5000000000 	 0.3631368942 	          1 
260.0000000000 	 0.3631303377 	          1 
260.5000000000 	 0.3631228224 	          1 
261.0000000000 	 0.3631202157 	          1 
261.5000000000 	 0.3631267527 	          1 
262.0000000000 	 0.3631311939 	          1 
262.5000000000 	 0.3631325694 	          1 
263.0000000000 	 0.3631312408 	          1 
263.5000000000 	 0.3631244448 	          1 
264.0000000000 	 0.3631185549 	          1 
264.5000000000 	 0.3631157422 	          1 
265.0000000000 	 0.3631125921 	          1 
265.5000000000 	 0.3631102710 	          1 
266.0000000000 	 0.3631064046 	          1 
266.5000000000 	 0.3630990672 	          1 
267.0000000000 	 0.3630865052 	          1 
267.5000000000 	 0.3630695446 	          1 
268.0000000000 	 0.3630572269 	          1 
268.5000000000 	 0.3630486602 	          1 
269.0000000000 	 0.3630392338 	          1 
269.5000000000 	 0.3630321710 	          1 
270.0000000000 	 0.3630233502 	          1 
270.5000000000 	 0.3630118387 	          1 
271.0000000000 	 0.3630012040 	          1 
271.5000000000 	 0.3629895001 	          1 
272.0000000000 	 0.3629847924 	          1 
272.5000000000 	 0.3629884508 	          1 
273.0000000000 	 0.3629877689 	          1 
273.5000000000 	 0.3629849047 	          1 
274.0000000000 	 0.3629803165 	          1 
274.5000000000 	 0.3629756593 	          1 
275.0000000000 	 0.3629669451 	          1 
275.5000000000 	 0.3629606071 	          1 
276.0000000000 	 0.3629583041 	          1 
276.5000000000 	 0.3629559737 	          1 
277.0000000000 	 0.3629533504 	          1 
277.5000000000 	 0.3629490886 	          1 
278.0000000000 	 0.3629414000 	          1 
278.5000000000 	 0.3629326439 	          1 
279.0000000000 	 0.3629260541 	          1 
279.5000000000 	 0.3629233041 	          1 
280.0000000000 	 0.3629227443 	          1 
280.5000000000 	 0.3629207480 	          1 
281.0000000000 	 0.3629160820 	          1 
281.5000000000 	 0.3629091918 	          1 
282.0000000000 	 0.3628985353 	          1 
282.5000000000 	 0.3628866195 	          1 
283.0000000000 	 0.3628766036 	          1 
283.5000000000 	 0.3628697131 	          1 
284.0000000000 	 0.3628667546 	          1 
284.5000000000 	 0.3628659597 	          1 
285.0000000000 	 0.3628646484 	          1 
285.5000000000 	 0.3628597467 	          1 
286.0000000000 	 0.3628531021 	          1 
286.5000000000 	 0.3628464539 	          1 
287.0000000000 	 0.3628408275 	          1 
287.5000000000 	 0.3628334234 	          1 
288.0000000000 	 0.3628313998 	          1 
288.5000000000 	 0.3628401795 	          1 
289.0000000000 	 0.3628418065 	          1 
289.5000000000 	 0.3628385252 	          1 
290.0000000000 	 0.3628303906 	          1 
290.5000000000 	 0.3628245730 	          1 
291.0000000000 	 0.3628215422 	          1 
291.5000000000 	 0.3628173094 	          1 
292.0000000000 	 0.3628106055 	          1 
292.5000000000 	 0.3628061628 	          1 
293.0000000000 	 0.3628036419 	          1 
293.5000000000 	 0.3628050293 	          1 
294.0000000000 	 0.3628042678 	          1 
294.5000000000 	 0.3628026228 	          1 
