#time 	S+S- 	 norm 
# 2019_08_20_13_08_46 
106.0000000000 	 0.3886355229 	          1 
106.5000000000 	 0.3883219959 	          1 
107.0000000000 	 0.3879868582 	          1 
107.5000000000 	 0.3876302507 	          1 
108.0000000000 	 0.3872527354 	          1 
108.5000000000 	 0.3868567080 	          1 
109.0000000000 	 0.3864408113 	          1 
109.5000000000 	 0.3860065218 	          1 
110.0000000000 	 0.3855539982 	          1 
110.5000000000 	 0.3850836267 	          1 
111.0000000000 	 0.3846016107 	          1 
111.5000000000 	 0.3841024047 	          1 
112.0000000000 	 0.3835865057 	          1 
112.5000000000 	 0.3830558706 	          1 
113.0000000000 	 0.3825138959 	          1 
113.5000000000 	 0.3819602911 	          1 
114.0000000000 	 0.3813966848 	          1 
114.5000000000 	 0.3808286673 	          1 
115.0000000000 	 0.3802510034 	          1 
115.5000000000 	 0.3796686605 	          1 
116.0000000000 	 0.3790833808 	          1 
116.5000000000 	 0.3784955157 	          1 
117.0000000000 	 0.3779088963 	          1 
117.5000000000 	 0.3773246550 	          1 
118.0000000000 	 0.3767467084 	          1 
118.5000000000 	 0.3761767648 	          1 
119.0000000000 	 0.3756171343 	          1 
119.5000000000 	 0.3750695523 	          1 
120.0000000000 	 0.3745384764 	          1 
120.5000000000 	 0.3740216612 	          1 
121.0000000000 	 0.3735213428 	          1 
121.5000000000 	 0.3730392645 	          1 
122.0000000000 	 0.3725763987 	          1 
122.5000000000 	 0.3721400261 	          1 
123.0000000000 	 0.3717218702 	          1 
123.5000000000 	 0.3713215935 	          1 
124.0000000000 	 0.3709405970 	          1 
124.5000000000 	 0.3705804147 	          1 
125.0000000000 	 0.3702408453 	          1 
125.5000000000 	 0.3699222114 	          1 
126.0000000000 	 0.3696223296 	          1 
126.5000000000 	 0.3693440442 	          1 
127.0000000000 	 0.3690872206 	          1 
127.5000000000 	 0.3688511377 	          1 
128.0000000000 	 0.3686350510 	          1 
128.5000000000 	 0.3684383585 	          1 
129.0000000000 	 0.3682573424 	          1 
129.5000000000 	 0.3680953463 	          1 
130.0000000000 	 0.3679520270 	          1 
130.5000000000 	 0.3678256319 	          1 
131.0000000000 	 0.3677174443 	          1 
131.5000000000 	 0.3676230860 	          1 
132.0000000000 	 0.3675426439 	          1 
132.5000000000 	 0.3674706130 	          1 
133.0000000000 	 0.3674082696 	          1 
133.5000000000 	 0.3673546992 	          1 
134.0000000000 	 0.3673090893 	          1 
134.5000000000 	 0.3672706419 	          1 
135.0000000000 	 0.3672398692 	          1 
135.5000000000 	 0.3672167391 	          1 
136.0000000000 	 0.3672010326 	          1 
136.5000000000 	 0.3671889533 	          1 
137.0000000000 	 0.3671794620 	          1 
137.5000000000 	 0.3671705971 	          1 
138.0000000000 	 0.3671631219 	          1 
138.5000000000 	 0.3671568488 	          1 
139.0000000000 	 0.3671503133 	          1 
139.5000000000 	 0.3671421872 	          1 
140.0000000000 	 0.3671321972 	          1 
140.5000000000 	 0.3671211538 	          1 
141.0000000000 	 0.3671069778 	          1 
141.5000000000 	 0.3670911850 	          1 
142.0000000000 	 0.3670728526 	          1 
142.5000000000 	 0.3670515483 	          1 
143.0000000000 	 0.3670281332 	          1 
143.5000000000 	 0.3669988654 	          1 
144.0000000000 	 0.3669667152 	          1 
144.5000000000 	 0.3669318939 	          1 
145.0000000000 	 0.3668939982 	          1 
145.5000000000 	 0.3668519935 	          1 
146.0000000000 	 0.3668064879 	          1 
146.5000000000 	 0.3667543212 	          1 
147.0000000000 	 0.3666986055 	          1 
147.5000000000 	 0.3666391515 	          1 
148.0000000000 	 0.3665759039 	          1 
148.5000000000 	 0.3665068194 	          1 
149.0000000000 	 0.3664337517 	          1 
149.5000000000 	 0.3663570533 	          1 
150.0000000000 	 0.3662778527 	          1 
150.5000000000 	 0.3661963804 	          1 
151.0000000000 	 0.3661129588 	          1 
151.5000000000 	 0.3660266725 	          1 
152.0000000000 	 0.3659358029 	          1 
152.5000000000 	 0.3658404074 	          1 
153.0000000000 	 0.3657436086 	          1 
153.5000000000 	 0.3656472718 	          1 
154.0000000000 	 0.3655488522 	          1 
154.5000000000 	 0.3654491152 	          1 
155.0000000000 	 0.3653485565 	          1 
155.5000000000 	 0.3652467453 	          1 
156.0000000000 	 0.3651415776 	          1 
156.5000000000 	 0.3650365302 	          1 
157.0000000000 	 0.3649323963 	          1 
157.5000000000 	 0.3648283506 	          1 
158.0000000000 	 0.3647250011 	          1 
158.5000000000 	 0.3646213657 	          1 
159.0000000000 	 0.3645178005 	          1 
159.5000000000 	 0.3644150500 	          1 
160.0000000000 	 0.3643122580 	          1 
160.5000000000 	 0.3642103989 	          1 
161.0000000000 	 0.3641088796 	          1 
161.5000000000 	 0.3640074877 	          1 
162.0000000000 	 0.3639086146 	          1 
162.5000000000 	 0.3638138370 	          1 
163.0000000000 	 0.3637198136 	          1 
163.5000000000 	 0.3636270758 	          1 
164.0000000000 	 0.3635378456 	          1 
164.5000000000 	 0.3634515359 	          1 
165.0000000000 	 0.3633701559 	          1 
165.5000000000 	 0.3632949591 	          1 
166.0000000000 	 0.3632229073 	          1 
166.5000000000 	 0.3631558376 	          1 
167.0000000000 	 0.3630925696 	          1 
167.5000000000 	 0.3630327916 	          1 
168.0000000000 	 0.3629785602 	          1 
168.5000000000 	 0.3629286011 	          1 
169.0000000000 	 0.3628824863 	          1 
169.5000000000 	 0.3628415017 	          1 
170.0000000000 	 0.3628063994 	          1 
170.5000000000 	 0.3627738020 	          1 
171.0000000000 	 0.3627453021 	          1 
171.5000000000 	 0.3627199746 	          1 
172.0000000000 	 0.3627020068 	          1 
172.5000000000 	 0.3626882998 	          1 
173.0000000000 	 0.3626812594 	          1 
173.5000000000 	 0.3626781655 	          1 
174.0000000000 	 0.3626794547 	          1 
174.5000000000 	 0.3626822465 	          1 
175.0000000000 	 0.3626879202 	          1 
175.5000000000 	 0.3626971058 	          1 
176.0000000000 	 0.3627085755 	          1 
176.5000000000 	 0.3627259258 	          1 
177.0000000000 	 0.3627493668 	          1 
177.5000000000 	 0.3627773647 	          1 
178.0000000000 	 0.3628070637 	          1 
178.5000000000 	 0.3628361024 	          1 
179.0000000000 	 0.3628682696 	          1 
179.5000000000 	 0.3629046093 	          1 
180.0000000000 	 0.3629429959 	          1 
180.5000000000 	 0.3629840017 	          1 
181.0000000000 	 0.3630270117 	          1 
