#time 	S+S- 	 norm 
# 2019_09_24_13_52_11 
50.5000000000 	 0.0000000000 	          0 
51.0000000000 	 0.9605304970 	          1 
51.5000000000 	 0.9226188357 	          1 
52.0000000000 	 0.8862035288 	          1 
52.5000000000 	 0.8512255159 	          1 
53.0000000000 	 0.8176280679 	          1 
53.5000000000 	 0.7853566944 	          1 
54.0000000000 	 0.7543590560 	          1 
54.5000000000 	 0.7245848790 	          1 
55.0000000000 	 0.6959858739 	          1 
55.5000000000 	 0.6685156574 	          1 
56.0000000000 	 0.6421296766 	          1 
56.5000000000 	 0.6167851374 	          1 
57.0000000000 	 0.5924409346 	          1 
57.5000000000 	 0.5690575854 	          1 
58.0000000000 	 0.5465971653 	          1 
58.5000000000 	 0.5250232468 	          1 
59.0000000000 	 0.5043008402 	          1 
59.5000000000 	 0.4843963367 	          1 
60.0000000000 	 0.4652774540 	          1 
60.5000000000 	 0.4469131842 	          1 
61.0000000000 	 0.4292737429 	          1 
61.5000000000 	 0.4123305216 	          1 
62.0000000000 	 0.3960560409 	          1 
62.5000000000 	 0.3804239058 	          1 
63.0000000000 	 0.3654087633 	          1 
63.5000000000 	 0.3509862610 	          1 
64.0000000000 	 0.3371330077 	          1 
64.5000000000 	 0.3238265355 	          1 
65.0000000000 	 0.3110452630 	          1 
65.5000000000 	 0.2987684611 	          1 
66.0000000000 	 0.2869762184 	          1 
66.5000000000 	 0.2756494097 	          1 
67.0000000000 	 0.2647696645 	          1 
67.5000000000 	 0.2543193375 	          1 
68.0000000000 	 0.2442814796 	          1 
68.5000000000 	 0.2346398110 	          1 
69.0000000000 	 0.2253786943 	          1 
69.5000000000 	 0.2164831092 	          1 
70.0000000000 	 0.2079386285 	          1 
70.5000000000 	 0.1997313942 	          1 
71.0000000000 	 0.1918480953 	          1 
71.5000000000 	 0.1842759463 	          1 
72.0000000000 	 0.1770026663 	          1 
72.5000000000 	 0.1700164591 	          1 
73.0000000000 	 0.1633059939 	          1 
73.5000000000 	 0.1568603875 	          1 
74.0000000000 	 0.1506691860 	          1 
74.5000000000 	 0.1447223481 	          1 
75.0000000000 	 0.1390102289 	          1 
75.5000000000 	 0.1335235643 	          1 
76.0000000000 	 0.1282534556 	          1 
76.5000000000 	 0.1231913554 	          1 
77.0000000000 	 0.1183290538 	          1 
77.5000000000 	 0.1136586649 	          1 
78.0000000000 	 0.1091726139 	          1 
78.5000000000 	 0.1048636251 	          1 
79.0000000000 	 0.1007247099 	          1 
79.5000000000 	 0.0967491557 	          1 
80.0000000000 	 0.0929305146 	          1 
80.5000000000 	 0.0892625934 	          1 
81.0000000000 	 0.0857394432 	          1 
81.5000000000 	 0.0823553499 	          1 
82.0000000000 	 0.0791048252 	          1 
82.5000000000 	 0.0759825971 	          1 
83.0000000000 	 0.0729836017 	          1 
83.5000000000 	 0.0701029752 	          1 
84.0000000000 	 0.0673360457 	          1 
84.5000000000 	 0.0646783254 	          1 
85.0000000000 	 0.0621255040 	          1 
85.5000000000 	 0.0596734413 	          1 
86.0000000000 	 0.0573181602 	          1 
86.5000000000 	 0.0550558409 	          1 
87.0000000000 	 0.0528828142 	          1 
87.5000000000 	 0.0507955558 	          1 
