##input
##{
##time_step=0.5;
##time_end = 200;
##Gamma_l =0.5;  //also Gamma_l is square root of the decay
##Gamma_m =0.50;
##Gamma_r =0.5;
##Nbin =2;
##svdcutoff = 1E-8;
##maxnumberofSV = 5000;
##feedback_time = 0; //ATTENTION avoid feedback 2, avoid feedback times uneven
##init_000 = 0.; 
##init_001 = 0.57735027; 
##init_010 = 0.57735027; 
##init_011 = 0.*0.57735027; 
##init_100 = 0.57735027; 
##init_101 = 0.*0.57735027; 
##init_110 = 0.*0.57735027;//70710678118; 
##init_111 = 0.0;//70710678118; 
##phi_l = 1.75;  // as multiple of pi // in case of fb=0 phase on the coupling element
##phi_m = 1.62;  // as multiple of pi
##phi_r = 1.47;  // as multiple of pi
##Nmax = 100; // for phase parameterplot fb=0
##}
##// =ATTENTION feedback counts between left and right, middle is half the feedback, effective first feedback effect after fb/2
##// =ATTENTION exclude feedback time of 2, i.e. no distance between left - middle - right bin
##// =ATTENTION exclude uneven feedback times of 2n+1, i.e. asymmetric swap necessary between left - middle - right bin
##// =ATTENTION exclude complex valued initial states, not yet implemented
##
##// 1./sqrt(2.) = 0.70710678118
##// 1./sqrt(3.) = 0.57735027
## 0.16 	 0.00 	 0.16 
80008 	 0.0091624682 	 0.0366498727 	 0.0091624682 
## 0.18 	 0.00 	 0.00 
90000 	 0.0461250592 	 0.0115312648 	 0.0115312648 
## 0.18 	 0.00 	 0.02 
90001 	 0.0412412977 	 0.0141923980 	 0.0070860081 
## 0.18 	 0.00 	 0.04 
90002 	 0.0365781294 	 0.0171808740 	 0.0037366236 
## 0.18 	 0.00 	 0.06 
90003 	 0.0321539577 	 0.0204848988 	 0.0014963298 
## 0.18 	 0.00 	 0.08 
90004 	 0.0279862429 	 0.0240914329 	 0.0003739682 
## 0.18 	 0.00 	 0.10 
90005 	 0.0240914329 	 0.0279862429 	 0.0003739682 
## 0.18 	 0.00 	 0.12 
90006 	 0.0204848988 	 0.0321539577 	 0.0014963298 
## 0.18 	 0.00 	 0.14 
90007 	 0.0171808740 	 0.0365781294 	 0.0037366236 
## 0.18 	 0.00 	 0.16 
90008 	 0.0141923980 	 0.0412412977 	 0.0070860081 
## 0.18 	 0.00 	 0.18 
90009 	 0.0115312648 	 0.0461250592 	 0.0115312648 
## 0.20 	 0.00 	 0.00 
