# dt 0.5000000000 -- t_end 9500 -- Nfb 0 -- fb_phase 3.1415926536
# E_cav 0.0000000000 -- Gamma 0.0750000000 -- G_cav 0.1500000000
# Ndim 2 -- Nbin 5 -- Ncav 5 -- cutoff 0.0000000000
# Init_EE 0.00 -- pn1 1.00 -- pn2 0.00 -- pn3 0.00 -- pn4 0.00
#SpecSteps 1500 --- SpecIntervall 3.00 
0.5000000000 	0.0000000000 	 0.0000000000 	0.0000000000 	 0.0000000000 	
1.0000000000 	0.0000000351 	 0.0000249530 	-0.0000066235 	 0.0000000000 	
1.5000000000 	0.0000005572 	 0.0000992501 	-0.0000462670 	 0.0000000021 	
2.0000000000 	0.0000027972 	 0.0002212225 	-0.0001251418 	 0.0000000157 	
2.5000000000 	0.0000087496 	 0.0003881395 	-0.0002425768 	 0.0000000589 	
3.0000000000 	0.0000211015 	 0.0005962772 	-0.0003976846 	 0.0000001582 	
3.5000000000 	0.0000431424 	 0.0008410096 	-0.0005893679 	 0.0000003475 	
4.0000000000 	0.0000786567 	 0.0011169183 	-0.0008163273 	 0.0000006667 	
4.5000000000 	0.0001318028 	 0.0014179197 	-0.0010770706 	 0.0000011608 	
5.0000000000 	0.0002069809 	 0.0017374052 	-0.0013699228 	 0.0000018781 	
5.5000000000 	0.0003086934 	 0.0020683927 	-0.0016930370 	 0.0000028690 	
6.0000000000 	0.0004414015 	 0.0024036840 	-0.0020444065 	 0.0000041842 	
6.5000000000 	0.0006093804 	 0.0027360261 	-0.0024218780 	 0.0000058731 	
7.0000000000 	0.0008165786 	 0.0030582721 	-0.0028231649 	 0.0000079822 	
7.5000000000 	0.0010664827 	 0.0033635376 	-0.0032458614 	 0.0000105536 	
8.0000000000 	0.0013619925 	 0.0036453498 	-0.0036874578 	 0.0000136233 	
8.5000000000 	0.0017053083 	 0.0038977862 	-0.0041453550 	 0.0000172203 	
9.0000000000 	0.0020978338 	 0.0041155990 	-0.0046168807 	 0.0000213650 	
9.5000000000 	0.0025400967 	 0.0042943237 	-0.0050993045 	 0.0000260684 	
